,Saison,Name,Player_ID,Alter,Nationalität,Abgebender Verein,ID_1,Aufnehmender Verein,ID_2,Zielland,Ablösesumme,Ligahöhe
2020,14/15,Jasper Van Der Heyden,222632,18,Belgien,Lierse SK (- 2018),204,AS Verbroedering Geel,9681,Belgien,0.0,2.Liga
2021,14/15,Julien Vercauteren,152873,21,Belgien,Lierse SK (- 2018),204,OGC Nizza,417,Frankreich,0.0,1.Liga
2022,14/15,Louay Wael,321569,22,Ägypten,Lierse SK (- 2018),204,El Ahly Kairo,7,Ägypten,0.0,1.Liga
2023,14/15,Lens Annab,123894,26,Belgien,Lierse SK (- 2018),204,AS Verbroedering Geel,9681,Belgien,0.0,2.Liga
2024,14/15,Hossam Ghaly,7448,32,Ägypten,Lierse SK (- 2018),204,El Ahly Kairo,7,Ägypten,0.0,1.Liga
2025,14/15,Geoffry Hairemans,110292,22,Belgien,Lierse SK (- 2018),204,KSK Heist,9888,Belgien,0.0,2.Liga
2026,14/15,Florent Hanin,111811,25,Frankreich,Lierse SK (- 2018),204,Strømsgodset IF,2817,Norwegen,0.0,1.Liga
2027,14/15,Rachid Bourabia,31062,29,Marokko,Lierse SK (- 2018),204,Waasland-Beveren,28643,Belgien,0.0,1.Liga
2028,14/15,Alexander Scholz,153582,22,Dänemark,KSC Lokeren (- 2020),498,Standard Lüttich,3057,Belgien,3000000.0,1.Liga
2029,14/15,Hamdi Harbaoui,49841,29,Tunesien,KSC Lokeren (- 2020),498,Qatar SC,965,Katar,2500000.0,1.Liga
2030,14/15,Júnior Dutra,99615,26,Brasilien,KSC Lokeren (- 2020),498,Al-Arabi SC,1230,Katar,2400000.0,1.Liga
2031,14/15,Cédric Mitu,222642,19,DR Kongo,KSC Lokeren (- 2020),498,SV Zulte Waregem,3508,Belgien,0.0,1.Liga
2032,14/15,Djordje Despotovic,167316,22,Serbien,KSC Lokeren (- 2020),498,Roter Stern Belgrad,159,Serbien,0.0,1.Liga
2033,14/15,Walter Fernández,65236,25,Spanien,KSC Lokeren (- 2020),498,Skoda Xanthi,128,Griechenland,0.0,1.Liga
2034,14/15,Onur Kaya,33709,28,Belgien,KSC Lokeren (- 2020),498,SV Zulte Waregem,3508,Belgien,0.0,1.Liga
2035,14/15,Benjamin Mokulu,55595,25,DR Kongo,KV Mechelen,354,AS Avellino 1912,2331,Italien,1000000.0,2.Liga
2036,14/15,Antonio Ghomsi,21924,28,Kamerun,KV Mechelen,354,Skoda Xanthi,128,Griechenland,0.0,1.Liga
2037,14/15,Seweryn Michalski,258424,20,Polen,KV Mechelen,354,GKS Belchatow,716,Polen,0.0,1.Liga
2038,14/15,Jerry Vandam,68902,26,Frankreich,KV Mechelen,354,Waasland-Beveren,28643,Belgien,0.0,1.Liga
2039,14/15,Mauro Minnaard,325917,19,Niederlande,KV Mechelen,354,HV & CV Quick Den Haag,27088,Niederlande,0.0,
2040,14/15,Anthony Van Loo,49641,25,Belgien,KV Mechelen,354,KV Kortrijk,601,Belgien,0.0,1.Liga
2041,14/15,Senad Karahmet,140780,22,Bosnien-Herzegowina,KV Mechelen,354,Ruch Chorzow,318,Polen,0.0,1.Liga
