,Saison,Name,Player_ID,Alter,Nationalität,Abgebender Verein,ID_1,Aufnehmender Verein,ID_2,Zielland,Ablösesumme
628,09/10,Safet Suljevic,54244,23,Serbien,FC Sion,321,Yverdon Sport FC,322,Schweiz,?
629,09/10,David Gonzalez,32732,22,Schweiz,FC Sion,321,Servette FC,61,Schweiz,?
630,09/10,Virgile Reset,23970,23,Frankreich,FC Sion,321,Vannes OC,1377,Frankreich,?
631,09/10,Djamel Mesbah,17735,24,Algerien,FC Luzern,434,US Lecce,1005,Italien,120 Tsd. €
632,09/10,Milan Gajic,46928,22,Serbien,FC Luzern,434,FC Zürich,260,Schweiz,ablösefrei
633,09/10,Ümit Celik,34261,22,Deutschland,FC Luzern,434,FC Solothurn,1287,Schweiz,ablösefrei
634,09/10,Jean-Michel Tchouga,18348,31,Kamerun,FC Luzern,434,FC Wohlen,1978,Schweiz,ablösefrei
635,09/10,Ayoub Rachane,59687,20,Marokko,FC Luzern,434,FC Renens,30252,Schweiz,?
636,09/10,Boubacar Diarra,400,30,Mali,FC Luzern,434,Liaoning FC,1079,China,?
637,09/10,Christian Schwegler,4931,25,Schweiz,BSC Young Boys,452,Red Bull Salzburg,409,Österreich,600 Tsd. €
638,09/10,Saïf Ghezal,60897,28,Tunesien,BSC Young Boys,452,Al-Ahli Saudi FC,18487,Saudi-Arabien,450 Tsd. €
639,09/10,Felix Bastians,39083,21,Deutschland,BSC Young Boys,452,SC Freiburg,60,Deutschland,250 Tsd. €
640,09/10,Marcos,40975,29,Brasilien,BSC Young Boys,452,RC Straßburg Alsace,667,Frankreich,ablösefrei
641,09/10,Carlos Varela,2890,31,Schweiz,BSC Young Boys,452,Neuchâtel Xamax,625,Schweiz,ablösefrei
642,09/10,Baykal Bellusci,2873,26,Türkei,BSC Young Boys,452,FC Aarau,116,Schweiz,ablösefrei
643,09/10,Franck Madou,45449,21,Frankreich,BSC Young Boys,452,FC Lausanne-Sport,527,Schweiz,?
644,09/10,Raúl Bobadilla,51356,22,Paraguay,Grasshopper Club Zürich,504,Borussia Mönchengladbach,18,Deutschland,"4,20 Mio. €"
645,09/10,Haris Seferovic,109256,17,Schweiz,Grasshopper Club Zürich,504,AC Florenz,430,Italien,"1,35 Mio. €"
646,09/10,Fabio Daprelà,66109,18,Schweiz,Grasshopper Club Zürich,504,West Ham United,379,England,"1,20 Mio. €"
647,09/10,Alessandro Riedle,86506,17,Deutschland,Grasshopper Club Zürich,504,VfB Stuttgart,79,Deutschland,300 Tsd. €
