,Saison,Name,Player_ID,Alter,Nationalität,Abgebender Verein,ID_1,Aufnehmender Verein,ID_2,Zielland,Ablösesumme,Ligahöhe
1090,15/16,Philipp Koblischek,101635,23,Österreich,FK Austria Wien,14,SV Horn,10044,Österreich,0.0,3.Liga
1091,15/16,Peter Michorl,158106,20,Österreich,FK Austria Wien,14,LASK,413,Österreich,0.0,2.Liga
1092,15/16,Sebastian Wimmer,130745,21,Österreich,FK Austria Wien,14,VfL Wolfsburg II,143,Deutschland,0.0,4.Liga
1093,15/16,Daniel Royer,74762,25,Österreich,FK Austria Wien,14,FC Midtjylland,865,Dänemark,0.0,1.Liga
1094,15/16,Ola Kamara,62067,26,Norwegen,FK Austria Wien,14,Columbus Crew SC,813,Vereinigte Staaten,0.0,
1095,15/16,Cican Stankovic,127679,22,Österreich,SV Grödig,10131,Red Bull Salzburg,409,Österreich,1250000.0,1.Liga
1096,15/16,Lucas Venuto,327912,20,Brasilien,SV Grödig,10131,FK Austria Wien,14,Österreich,500000.0,1.Liga
1097,15/16,Philipp Huspek,59057,24,Österreich,SV Grödig,10131,SK Rapid Wien,170,Österreich,0.0,1.Liga
1098,15/16,Maximilian Karner,35078,25,Österreich,SV Grödig,10131,Levski Sofia,156,Bulgarien,0.0,1.Liga
1099,15/16,Ione Cabrera,45771,29,Spanien,SV Grödig,10131,LASK,413,Österreich,0.0,2.Liga
1100,15/16,Adnan Adilovic,214983,21,Österreich,SV Grödig,10131,FC Kufstein,2235,Österreich,0.0,3.Liga
1101,15/16,Sunday Emmanuel,336874,23,Nigeria,SV Grödig,10131,CD Feirense,3349,Portugal,0.0,2.Liga
1102,15/16,Simon Handle,106265,22,Deutschland,SV Grödig,10131,FC Erzgebirge Aue,94,Deutschland,0.0,3.Liga
1103,15/16,Marvin Potzmann,106869,21,Österreich,SV Grödig,10131,SK Sturm Graz,122,Österreich,0.0,1.Liga
1104,15/16,Stefan Nutz,106171,23,Österreich,SV Grödig,10131,SK Rapid Wien,170,Österreich,0.0,1.Liga
1105,15/16,Tomi Correa,71554,30,Spanien,SV Grödig,10131,SK Rapid Wien,170,Österreich,0.0,1.Liga
1106,15/16,Christoph Martschinko,120191,21,Österreich,SV Grödig,10131,TSG 1899 Hoffenheim,533,Deutschland,0.0,1.Liga
1107,15/16,Bernd Gschweidl,167350,20,Österreich,SV Grödig,10131,SKN St. Pölten,2662,Österreich,0.0,2.Liga
1108,15/16,Stefan Posch,223974,18,Österreich,FC Admira Wacker Mödling,503,TSG 1899 Hoffenheim U19,8925,Deutschland,200000.0,Jugendliga
1109,15/16,Markus Katzer,2826,35,Österreich,FC Admira Wacker Mödling,503,First Vienna FC,2364,Österreich,0.0,3.Liga
1110,15/16,Stephan Auer,82527,24,Österreich,FC Admira Wacker Mödling,503,SK Rapid Wien,170,Österreich,0.0,1.Liga
1111,15/16,Dominik Burusic,104644,22,Österreich,FC Admira Wacker Mödling,503,SV Stripfing,20296,Österreich,0.0,5.Liga
1112,15/16,Bernhard Schachner,25792,29,Österreich,FC Admira Wacker Mödling,503,SV Stripfing,20296,Österreich,0.0,5.Liga
1113,15/16,Benjamin Sulimani,34736,26,Österreich,FC Admira Wacker Mödling,503,SV Grödig,10131,Österreich,0.0,1.Liga
1114,15/16,Richard Windbichler,74770,24,Österreich,FC Admira Wacker Mödling,503,FK Austria Wien,14,Österreich,0.0,1.Liga
1115,15/16,Issiaka Ouedraogo,81130,27,Burkina Faso,FC Admira Wacker Mödling,503,Wolfsberger AC,4441,Österreich,0.0,1.Liga
1116,15/16,Konstantin Kerschbaumer,81694,23,Österreich,FC Admira Wacker Mödling,503,FC Brentford,1148,England,0.0,2.Liga
1117,15/16,Oliver Pranjic,181723,21,Österreich,FC Admira Wacker Mödling,503,SV Horn,10044,Österreich,0.0,3.Liga
1118,15/16,Karim Onisiwo,119234,23,Österreich,SV Mattersburg,856,1.FSV Mainz 05,39,Deutschland,0.0,1.Liga
1119,16/17,Naby Keïta,302215,21,Guinea,Red Bull Salzburg,409,RasenBallsport Leipzig,23826,Deutschland,29750000.0,1.Liga
1120,16/17,Dayot Upamecano,344695,18,Frankreich,Red Bull Salzburg,409,RasenBallsport Leipzig,23826,Deutschland,18500000.0,1.Liga
1121,16/17,Jonathan Soriano,7893,31,Spanien,Red Bull Salzburg,409,Beijing Guoan,3176,China,15000000.0,1.Liga
1122,16/17,Martin Hinteregger,85789,23,Österreich,Red Bull Salzburg,409,FC Augsburg,167,Deutschland,10500000.0,1.Liga
1123,16/17,Bernardo,364258,21,Brasilien,Red Bull Salzburg,409,RasenBallsport Leipzig,23826,Deutschland,6000000.0,1.Liga
1124,16/17,Peter Ankersen,146889,25,Dänemark,Red Bull Salzburg,409,FC Kopenhagen,190,Dänemark,1500000.0,Playoff/Relegation
1125,16/17,Benno Schmitz,160968,21,Deutschland,Red Bull Salzburg,409,RasenBallsport Leipzig,23826,Deutschland,800000.0,1.Liga
1126,16/17,Yordy Reyna,200779,23,Peru,Red Bull Salzburg,409,Vancouver Whitecaps FC,6321,Vereinigte Staaten,0.0,
1127,16/17,Florian Kainz,106270,23,Österreich,SK Rapid Wien,170,SV Werder Bremen,86,Deutschland,3500000.0,1.Liga
1128,16/17,Stefan Stangl,84537,24,Österreich,SK Rapid Wien,170,Red Bull Salzburg,409,Österreich,1650000.0,1.Liga
1129,16/17,Thanos Petsos,82110,25,Griechenland,SK Rapid Wien,170,SV Werder Bremen,86,Deutschland,0.0,1.Liga
1130,16/17,Deni Alar,42004,26,Österreich,SK Rapid Wien,170,SK Sturm Graz,122,Österreich,0.0,1.Liga
1131,16/17,Michael Schimpelsberger,59185,25,Österreich,SK Rapid Wien,170,FC Wacker Innsbruck,2444,Österreich,0.0,2.Liga
1132,16/17,Philipp Huspek,59057,25,Österreich,SK Rapid Wien,170,SK Sturm Graz,122,Österreich,0.0,1.Liga
1133,16/17,Stefan Nutz,106171,24,Österreich,SK Rapid Wien,170,SV Ried,266,Österreich,0.0,1.Liga
1134,16/17,Dominik Starkl,158214,22,Österreich,SK Rapid Wien,170,FC Admira Wacker Mödling,503,Österreich,0.0,1.Liga
1135,16/17,Roi Kehat,32928,24,Israel,FK Austria Wien,14,Maccabi Haifa,1064,Israel,1000000.0,1.Liga
1136,16/17,Marco Meilinger,79607,24,Österreich,FK Austria Wien,14,Aalborg BK,1053,Dänemark,0.0,1.Liga
1137,16/17,Vance Sikov,24976,30,Nordmazedonien,FK Austria Wien,14,Neftchi Baku,8031,Aserbaidschan,0.0,1.Liga
1138,16/17,Fabian Koch,59069,27,Österreich,FK Austria Wien,14,SK Sturm Graz,122,Österreich,0.0,1.Liga
1139,16/17,Alexander Gorgon,45425,27,Österreich,FK Austria Wien,14,HNK Rijeka,144,Kroatien,0.0,1.Liga
1140,16/17,Marco Stark,108418,23,Österreich,FK Austria Wien,14,SC Austria Lustenau,541,Österreich,0.0,2.Liga
1141,16/17,Marios Pechlivanis,379782,21,Zypern,FK Austria Wien,14,Olympiakos Nikosia,1402,Zypern,0.0,
1142,16/17,Richard Windbichler,74770,25,Österreich,FK Austria Wien,14,Ulsan Hyundai,3535,Südkorea,0.0,1.Liga
1143,16/17,Jörg Siebenhandl,59009,26,Österreich,FC Admira Wacker Mödling,503,Würzburger Kickers,1557,Deutschland,500000.0,2.Liga
1144,16/17,Philipp Malicsek,223969,19,Österreich,FC Admira Wacker Mödling,503,SK Rapid Wien,170,Österreich,400000.0,1.Liga
1145,16/17,Christoph Schösswendter,68379,27,Österreich,FC Admira Wacker Mödling,503,SK Rapid Wien,170,Österreich,0.0,1.Liga
1146,16/17,Andreas Dlopst,147399,22,Österreich,FC Admira Wacker Mödling,503,ATSV Wolfsberg,18140,Österreich,0.0,3.Liga
1147,16/17,Daniel Gremsl,119230,23,Österreich,FC Admira Wacker Mödling,503,TSV Hartberg,4467,Österreich,0.0,3.Liga
1148,16/17,Peter Zulj,128105,23,Österreich,FC Admira Wacker Mödling,503,SV Ried,266,Österreich,0.0,1.Liga
1149,16/17,Markus Rusek,158155,22,Österreich,FC Admira Wacker Mödling,503,SC Wiener Neustadt,17444,Österreich,0.0,2.Liga
1150,16/17,René Schicker,6143,31,Österreich,FC Admira Wacker Mödling,503,SV Stripfing,20296,Österreich,0.0,4.Liga
1151,16/17,Marvin Egho,274984,22,Österreich,FC Admira Wacker Mödling,503,SV Ried,266,Österreich,0.0,1.Liga
1152,16/17,Uros Matic,90885,26,Serbien,SK Sturm Graz,122,FC Kopenhagen,190,Dänemark,3000000.0,Playoff/Relegation
1153,16/17,Michael Madl,20381,28,Österreich,SK Sturm Graz,122,FC Fulham,931,England,1500000.0,2.Liga
1154,16/17,Bright Edomwonyi,229857,22,Nigeria,SK Sturm Graz,122,Caykur Rizespor,126,Türkei,1200000.0,1.Liga
1155,16/17,Michael Esser,61989,28,Deutschland,SK Sturm Graz,122,SV Darmstadt 98,105,Deutschland,350000.0,1.Liga
1156,16/17,David Schloffer,106273,24,Österreich,SK Sturm Graz,122,FSV Wacker Nordhausen,490,Deutschland,0.0,4.Liga
1157,16/17,Wilson Kamavuaka,55512,26,DR Kongo,SK Sturm Graz,122,Panetolikos GFS,6418,Griechenland,0.0,1.Liga
1158,16/17,Andreas Pfingstner,111462,23,Österreich,SK Sturm Graz,122,SC Wiener Neustadt,17444,Österreich,0.0,2.Liga
1159,16/17,Thorsten Schick,55574,26,Österreich,SK Sturm Graz,122,BSC Young Boys,452,Schweiz,0.0,1.Liga
