,Saison,Name,Player_ID,Alter,Nationalität,Abgebender Verein,ID_1,Aufnehmender Verein,ID_2,Zielland,Ablösesumme,Ligahöhe
881,08/09,Piotr Lech,24511,40,Polen,GKS Belchatow,716,Jagiellonia Bialystok,2300,Polen,0,1.Liga
882,08/09,Pawel Strak,14917,25,Polen,GKS Belchatow,716,SV Ried,266,Österreich,0,1.Liga
883,08/09,Marcin Truszkowski,42502,24,Polen,GKS Belchatow,716,Gornik Leczna,3291,Polen,0,2.Liga
884,08/09,Alexander Sánchez,52358,24,Peru,GKS Belchatow,716,Club Alianza Lima,184,Peru,0,
885,08/09,Tomasz Jarzebowski,15225,30,Polen,GKS Belchatow,716,Legia Warschau,255,Polen,0,1.Liga
886,08/09,Maciej Dabrowski,45415,21,Polen,GKS Belchatow,716,Zawisza Bydgoszcz,7153,Polen,0,
887,08/09,Rafal Misztal,35121,24,Polen,GKS Belchatow,716,Dolcan Zabki,4892,Polen,0,2.Liga
888,08/09,Jhoel Herrera,30589,27,Peru,GKS Belchatow,716,Club Cienciano,2729,Peru,0,
889,08/09,Mikel Arruabarrena,51559,25,Spanien,Legia Warschau,255,SD Eibar,1533,Spanien,0,2.Liga
890,08/09,Aleksandar Vukovic,15235,29,Serbien,Legia Warschau,255,Iraklis Thessaloniki,47,Griechenland,0,1.Liga
891,08/09,Edson Canhão,14093,31,Brasilien,Legia Warschau,255,Clube Náutico Capibaribe,2646,Brasilien,0,1.Liga
892,08/09,Piotr Bronowicki,29796,27,Polen,Legia Warschau,255,Piast Gliwice,6112,Polen,0,1.Liga
893,08/09,Balbino,69679,25,Spanien,Legia Warschau,255,UD San Sebastián de los Reyes,11245,Spanien,0,
894,08/09,Maciej Korzym,20775,20,Polen,Legia Warschau,255,Odra Wodzislaw Slaski,1305,Polen,0,1.Liga
895,08/09,Piotr Giza,29729,28,Polen,Cracovia,5689,Legia Warschau,255,Polen,400000 ,1.Liga
896,08/09,Marcin Bojarski,29720,30,Polen,Cracovia,5689,Piast Gliwice,6112,Polen,75000 ,1.Liga
897,08/09,Krzysztof Radwanski,29747,30,Polen,Cracovia,5689,Gornik Leczna,3291,Polen,25000 ,2.Liga
898,08/09,Árpád Majoros,65972,25,Ungarn,Cracovia,5689,Nyíregyháza Spartacus,6058,Ungarn,0,
899,08/09,Semjon Milosevic,45960,29,Bosnien-Herzegowina,Cracovia,5689,FK Leotar Trebinje,3451,Bosnien-Herzegowina,0,1.Liga
900,08/09,Pawel Drumlak,29725,32,Polen,Cracovia,5689,LKS Lodz,256,Polen,0,1.Liga
901,08/09,Pawel Wojciechowski,24537,24,Polen,Cracovia,5689,Lechia Zielona Gora II,9655,Polen,0,
902,08/09,Mateusz Rzucidlo,34749,28,Polen,Cracovia,5689,Stal Rzeszow,9510,Polen,0,
903,08/09,Lukasz Skrzynski,29748,30,Polen,Cracovia,5689,Polonia Warschau,2745,Polen,0,1.Liga
904,08/09,Tomasz Wacek,29753,31,Polen,Cracovia,5689,Gornik Wieliczka,9479,Polen,0,
905,08/09,Przemyslaw Pitry,36459,26,Polen,Lech Posen,238,Górnik Zabrze,428,Polen,300000 ,1.Liga
906,08/09,Iliyan Mitsanski,32597,22,Bulgarien,Lech Posen,238,Zaglebie Lubin,168,Polen,300000 ,2.Liga
907,08/09,Pawel Linka,32593,22,Polen,Lech Posen,238,Skoda Xanthi,128,Griechenland,60000 ,1.Liga
908,08/09,Tomasz Midzierski,42544,23,Polen,Lech Posen,238,Lechia Gdansk,4000,Polen,50000 ,1.Liga
909,08/09,Marcin Dymkowski,29802,27,Polen,Lech Posen,238,Odra Wodzislaw Slaski,1305,Polen,0,1.Liga
910,08/09,Henry Quinteros,44040,30,Peru,Lech Posen,238,Club Alianza Lima,184,Peru,0,
911,08/09,Maciej Scherfchen,29856,29,Polen,Lech Posen,238,Ruch Chorzow,318,Polen,0,1.Liga
912,08/09,Emilian Dolha,35430,28,Rumänien,Lech Posen,238,FC Dinamo 1948,312,Rumänien,0,1.Liga
